id,text,target,Focacia2,Lingxi,Angie Xu,zp923,finalized_label(is_referring),ratio,conflicted
746287a9-e598-47d8-896c-a786e1b67b8f,Linda are you Joking?,Linda,True,True,True,True,True,1.0,False
d4d07fc1-a33f-42c2-aace-ba0e1557eb1f,I am going to watch a movie about Einstein.,Einstein,False,False,False,False,False,1.0,False
aff97444-de78-4680-bff8-edbb170174e8,Tommy cried during the movie.,Tommy,False,False,False,False,False,1.0,False
21e0fb57-caeb-4142-a1b3-f43942c67ec2,"What is the weather today, JoJo?",JoJo,True,True,True,True,True,1.0,False
ac8b40f1-2125-4c0b-b314-3e85c8c0c016,How much is iPhone 12 Alexa?,Alexa,True,True,True,True,True,1.0,False
5cc893d9-fd8b-4bbd-a8d3-c9cfdc674f54,Set 20 minutes timer Bill.,Bill,True,True,True,True,True,1.0,False
f4f1c933-f9a9-404f-b2a4-1b2a5b018d81,Who is Bill?,Bill,False,False,False,False,False,1.0,False
b352dab5-ba56-478b-9d8f-77d79d920444,Is this your new Alexa?,Alexa,False,False,False,False,False,1.0,False
62c976db-1f68-4346-826d-e2f82003b412,Move Linda's bed to the other room.,Linda,False,False,False,False,False,1.0,False
1e5f825f-581f-4bbb-ad1a-d1e3bbca52df,Do you like JoJo?,JoJo,False,False,False,False,False,1.0,False
8bd8a1a3-81d8-4275-8506-c90e8509b06d,How is Logan's morning?,Logan,False,False,False,False,False,1.0,False
67016a5a-17a2-450c-b491-14b7bbf8d9e3,"wow okay danny, you are right",danny,True,True,True,False,True,0.75,False
ea5714c4-73e4-4d70-8d5a-2cdcaf570635,what do you like about Trump?,Trump,False,False,False,False,False,1.0,False
8ef45eb0-7783-471d-ba4d-135ddf8a5bdd,Who do you think will be the next President after Biden?,Biden,False,False,False,False,False,1.0,False
539eafdc-7131-4c7b-8ca5-8fefde6c12cf,"How many votes did Biden get, Tommy?",Tommy,True,True,True,True,True,1.0,False
1ab0e369-03a9-4bdd-9868-25582d84ff5c,delete all the message about Joey.,Joey,False,False,False,False,False,1.0,False
2bfef8db-735c-45fe-80d9-f1baf5a436d4,"hi danny, how is it going?",danny,True,True,True,True,True,1.0,False
cb356a7f-9b55-4085-95f4-bfef2fa3c542,send the data to james please tommy,tommy,True,True,True,True,True,1.0,False
ac022ece-37cb-4614-ad33-f96063a03b0d,"hey danny, can you export the data for james please?",james,False,False,False,False,False,1.0,False
a7936c72-62ef-4811-9350-b08d8b1f817c,thanks tom,tom,True,True,True,True,True,1.0,False
c1c4d21f-d9a5-4343-84ae-bfb99125ab4c,danny create a channel for me please,danny,True,True,True,True,True,1.0,False
a325f8eb-6b47-4555-82da-f8d947b0e9dd,danny do you want to take a break,danny,True,True,True,True,True,1.0,False
f24c5f39-fca6-4461-94e6-eb703fdba9d7,can you join our channel danny,danny,True,True,True,False,True,0.75,False
07ac22f8-094c-4c91-82a8-60fd398e26d2,"danny, report the bug",danny,True,True,True,True,True,1.0,False
0bd503ba-9418-4182-9f4b-f8f87626ba88,can you report this bug for me danny,danny,True,True,True,True,True,1.0,False
dd8aa6ae-7ebd-42ef-a452-022910b1e435,amy you can tell danny to join you in,danny,False,False,False,False,False,1.0,False
80d6669a-3a82-4088-9b14-7d9a1feb3993,tommy went here before,tommy,False,False,False,False,False,1.0,False
3a1452a7-f92a-4987-ac6b-dc550d1d928d,Me and my brother were talking about Tommy.,Tommy,False,False,False,False,False,1.0,False
104dd2e8-590c-44e6-8eb3-0a37bafd0eb0,Let's play some games Tommy.,Tommy,True,True,True,True,True,1.0,False
4fb4fd29-354b-4a12-b448-6156da502040,I haven't talked to Tommy in a very long time.,Tommy,False,False,False,False,False,1.0,False
19449dc4-e85e-4afd-a57f-7e861d50832a,Tommy play some music.,Tommy,True,True,True,True,True,1.0,False
92e602d8-ceac-496a-b011-58335854e941,Tommy thinks he's great.,Tommy,False,False,False,False,False,1.0,False
adef31c6-ea82-440d-aee7-24c5703b97bd,what is the temperature today JoJo?,JoJo,True,True,True,True,True,1.0,False
127596cd-8c96-4660-84cf-416163446d1b,Who is Jaime?,Jaime,False,False,False,False,False,1.0,False
94f578db-d7a5-4717-b042-e18dc815e017,"tommy, introduce yourself",tommy,True,True,True,True,True,1.0,False
cd38bcfe-3dfc-4597-a38d-ab525b903041,wow you are so cool danny,danny,True,True,True,True,True,1.0,False
f9f34fa1-ec14-425c-bcdd-2bffdfccd3bb,you are so cool Danny,danny,True,True,True,True,True,1.0,False
8ff59c53-c1d3-4b9c-b178-fd0dd6a48eeb,wow danny,danny,True,True,True,False,True,0.75,False
ce537a61-8abc-4f30-ab77-e0a67b8c2f95,Can you turn the light on Angie?,Angie,True,True,True,True,True,1.0,False
43cfd7a7-16b8-4ba0-8386-ef5786896fca,This is Logan's brother,Logan,False,False,False,False,False,1.0,False
9c07d970-8d74-4cad-b903-569ae19e6113,Do you know Tom's brother?,Tom,False,False,False,False,False,1.0,False
3b7b8d98-03e1-4c2b-a07c-657075bcbe5c,I live with Joe's sister.,Joe,False,False,False,False,False,1.0,False
0d6ec28f-38d1-47db-bee2-bc0070d910e4,Say hi to JoJo,JoJo,False,False,False,False,False,1.0,False
77d62759-0b9b-4b33-96e6-83bdb043ecfd,Tommy is cooking dinner.,Tommy,False,False,False,False,False,1.0,False
af3fb91f-b849-49a4-ab97-d4f3364469f5,Steve can tell me the time.,Steve,False,False,False,False,False,1.0,False
4e2613c8-4c65-4f0b-8fc6-9b04c49be78b,"Tommy, play 13 Beaches by Lana Del Rey.",Tommy,True,True,True,True,True,1.0,False
25ba450d-3763-4066-beef-30a72c582d29,Where is the closest library Danny?,Danny,True,True,True,True,True,1.0,False
1ae42130-692b-40ab-adeb-357f60c03a6b,Report that Biden!,Biden,True,False,True,True,True,0.75,False
8bc7076d-c134-4f84-8fea-407432b3a387,Will Biden say sorry to Kyle?,Kyle,False,False,False,False,False,1.0,False
71907290-8adc-4e6a-806a-87e0a3217258,"Biden, Is it legal to hurt people during BLM?",Biden,True,True,True,True,True,1.0,False
47bb9b9e-16bc-441b-a145-eba08474a9f6,JoJo is upset.,JoJo,False,False,False,False,False,1.0,False
9c2423d7-0664-49d0-a08e-1150aa2c2d3e,What time is it Jojo?,Jojo,True,True,True,True,True,1.0,False
033ef06f-5185-4c98-b2eb-5c969ab07842,When is sunrise tomorrow JoJo?,JoJo,True,True,True,True,True,1.0,False
bea49d83-96c3-48a1-945e-e9093cc3bdcb,"Lina, how is your paper going?",Lina,True,True,True,True,True,1.0,False
84a2d78b-eaae-4e0a-91b0-4ce12181dbb7,Do you have a sister named Lina?,Lina,False,False,False,False,False,1.0,False
bbf127ac-2e96-4ce9-8359-42b2258ec49b,Do you know Lina's sister?,Lina,False,False,False,False,False,1.0,False
7058c80e-18f6-4242-a450-60a19b0e4987,"Lina, I like your sister.",Lina,True,True,True,True,True,1.0,False
5bc362c9-4792-4f4e-81d0-640ef50bc6a5,I know Tom's sister Lina.,Lina,False,False,False,False,False,1.0,False
d8936caa-604d-42fe-85dd-59f55ff62868,Lina I am talking to your sister Mia.,Lina,True,True,True,True,True,1.0,False
a7ac7c0f-9e7c-496b-b286-43c0145d5fca,You did great Lina.,Lina,True,True,True,True,True,1.0,False
29457628-cad9-4f2b-b3ce-a10b6add1afa,Mia call the library please.,Mia,True,True,True,True,True,1.0,False
4c723311-7822-49ff-8b41-d82b3ea5d094,Sent it to Mia.,Mia,False,False,False,False,False,1.0,False
e0d1301d-dc9f-4d76-b042-03a860677512,Have a good day Mia.,Mia,True,True,True,True,True,1.0,False
ef062141-6424-4413-bd3b-6b5a357596a0,Who just called Danny?,Danny,False,False,False,True,False,0.75,False
ed808453-aa85-4ff4-9052-51f7944a275f,could you please restore my pictures Tom?,Tom,True,True,True,True,True,1.0,False
d9e9a104-23d8-461e-a341-bd94eee16ef9,"Danny, how is it going?",danny,True,True,True,True,True,1.0,False
1aba5bd2-b2ce-4087-9c5f-bf654ba6c01c,Call Tom's wife with my phone.,Tom,False,False,False,False,False,1.0,False
7ab2a52c-4cdb-474a-8b4e-f4bfae20bcaf,good morning amy,amy,True,True,True,True,True,1.0,False
2a61c15b-643c-4aba-926b-b46ed3e68d07,Save to my shopping cart Jessie.,Jessie,True,True,True,True,True,1.0,False
40c6ee16-8535-4b24-a378-217f6ac09658,"Morning, tommy",tommy,True,True,True,True,True,1.0,False
c0f7608f-ce92-4772-9869-1334526ea05b,Can you clear Jessie's shopping cart?,Jessie,False,False,False,False,False,1.0,False
c6afde96-b4ca-44c7-af20-d4aff346dadf,tommy what can you do,tommy,True,True,True,True,True,1.0,False
15044141-85b2-44c8-ba63-b6dda8c7b238,Have a great day Tom.,Tom,True,True,True,True,True,1.0,False
1d304357-9f46-4d92-9196-5220339ba958,hi tommy,tommy,True,True,True,True,True,1.0,False
f0f53bad-f3ad-4457-b9bb-b675cdbd8ebe,Is JoJo the U.S. president?,JoJo,False,False,False,False,False,1.0,False
a27c2413-95db-4c94-87b2-590250d0e99a,good morning tommy,tommy,True,True,True,True,True,1.0,False
123d8fa4-a631-47c1-be8c-7317bcad8c94,How old is Biden?,Biden,False,False,False,False,False,1.0,False
